Country or Area,Internet Users,Population,Absolute Rank,Percentage,Rank
Greenland,39242,56480,197,69.48%,81
Jersey,38958,165314,198,41.03% (2012),-
Monaco,37553,38695,199,97.05%,10
"Micronesia, Federated States of",37257,105544,200,35.30%,144
Liechtenstein,37201,37922,201,98.10%,4
Gibraltar,32494,34571,202,94.44% (2016),-
Marshall Islands,20560,53127,203,38.70%,138
San Marino,20100,33400,204,60.18%,102
Kiribati,16971,116398,205,14.58%,185
British Virgin Islands,14456,31196,206,37.60% (2012),141
Anguilla,12043,14909,207,81.57% (2016),44
Nauru,6475,11359,208,57.00%,110
Tuvalu,5520,11192,209,49.32%,124
Saint Helena,2906,4534,210,37.60% (2012),-
Falkland Islands,2881,2910,211,99.02% (2016),-
Montserrat,2833,5177,212,54.55% (2013),115
Wallis and Futuna,1383,11773,213,8.95% (2012),-
Niue,1034,1618,214,86.90% (2013),30
Ascension,361,806,215,41.03% (2012),-
